#,Country,Name of Organization,Bitcoin Held,Value USD,% of 21M
1,🇺🇸,Strategy MSTR Buy,"₿ 780,897","$59,476M",3.719%
2,🇺🇸,Twenty One Capital XXI,"₿ 43,514","$3,314M",0.207%
3,🇯🇵,Metaplanet Inc. MPJPY,"₿ 40,177","$3,060M",0.191%
4,🇺🇸,"MARA Holdings, Inc. MARA Buy","₿ 38,689","$2,947M",0.184%
5,🇺🇸,Bitcoin Standard Treasury Company CEPO,"₿ 30,021","$2,287M",0.143%
6,🇺🇸,Bullish BLSH,"₿ 24,300","$1,851M",0.116%
7,🇺🇸,"Riot Platforms, Inc. RIOT Buy","₿ 15,680","$1,194M",0.075%
8,🇺🇸,"Coinbase Global, Inc. COIN Buy","₿ 15,389","$1,172M",0.073%
9,🇺🇸,Strive ASST,"₿ 13,768","$1,049M",0.066%
10,🇺🇸,Hut 8 Mining Corp HUT Buy,"₿ 13,696","$1,043M",0.065%
11,🇺🇸,"CleanSpark, Inc. CLSK","₿ 13,363","$1,018M",0.064%
12,🇺🇸,"Tesla, Inc. TSLA 🥬 🙌 Buy","₿ 11,509",$877M,0.055%
13,🇺🇸,Trump Media & Technology Group Corp. DJT Buy,"₿ 9,542",$727M,0.045%
14,🇺🇸,"Block, Inc. XYZ Buy","₿ 8,883",$677M,0.042%
15,🇺🇸,GD Culture Group GDC,"₿ 7,500",$571M,0.036%
16,🇺🇸,American Bitcoin Corp ABTC Buy,"₿ 7,000",$533M,0.033%
17,🇺🇸,Galaxy Digital Holdings Ltd GLXY Buy,"₿ 6,894",$525M,0.033%
18,🇨🇳,Next Technology Holding Inc. NXTT,"₿ 5,833",$444M,0.028%
19,🇺🇸,ProCap Financial BRR,"₿ 5,457",$416M,0.026%
20,🇺🇸,Nakamoto Inc NAKA,"₿ 5,058",$385M,0.024%
21,🇺🇸,Gemini Space Station Inc GEMI Buy,"₿ 4,619",$352M,0.022%
22,🇭🇰,Boyaa Interactive International Limited 0434,"₿ 4,091",$312M,0.019%
23,🇧🇷,OranjeBTC OBTC3,"₿ 3,723",$284M,0.018%
24,🇩🇪,Bitcoin Group SE ADE,"₿ 3,605",$275M,0.017%
25,🇺🇸,Empery Digital EMPD,"₿ 3,502",$267M,0.017%
26,🇫🇷,Capital B ALCPB,"₿ 2,925",$223M,0.014%
27,🇬🇧,The Smarter Web Company PLC SWC,"₿ 2,706",$206M,0.013%
28,🇺🇸,Core Scientific CORZ,"₿ 2,537",$193M,0.012%
