Rank,Name,Ticker,Price,1H Change,24H Change,7D Change,24H Volume,Market Cap
23,Zcash,ZEC,303.81,1.4,5.9,16.1,29.2,336614921.0
17,Chainlink,LINK,9.13,0.6,1.9,4.7,1.2,316241275.0
47,NEAR Protocol,NEAR,1.35,0.3,0.5,0.2,1.4,208573345.0
18,Monero,XMR,346.59,0.4,0.2,1.6,0.4,97569973.0
110,Dash,DASH,34.06,0.4,1.8,19.1,7.2,63605018.0
271,Horizen,ZEN,5.93,0.9,2.3,2.7,3.8,19724926.0
88,Midnight,NIGHT,0.0375,0.3,0.3,2.3,15.8,18126729.0
175,Starknet,STRK,0.03425,0.6,3.3,1.6,4.0,14276180.0
90,Beldex,BDX,0.07939,0.4,0.7,1.0,1.3,11709427.0
407,Zama,ZAMA,0.02806,0.2,3.0,12.1,20.3,10232462.0
937,Nillion,NIL,0.03848,0.5,0.2,17.9,21.4,9220484.0
1222,ARPA,ARPA,0.009909,1.7,0.5,6.0,0.6,8685259.0
214,ZKsync,ZK,0.01557,0.4,4.0,1.9,16.9,7664753.0
420,Verge,XVG,0.003614,0.8,4.6,22.4,26.6,7632391.0
548,COTI,COTI,0.01405,0.2,3.8,3.4,5.4,4534373.0
618,iExec RLC,RLC,0.4562,2.8,3.9,11.3,9.0,4245873.0
862,Anoma,XAN,0.007837,0.3,8.3,2.3,29.1,4004752.0
322,Oasis,ROSE,0.01108,0.2,0.8,3.6,8.5,3669323.0
1014,zkPass,ZKP,0.06887,0.6,4.9,2.0,11.3,2201453.0
546,Status,SNT,0.009863,1.2,3.1,2.3,0.6,1769857.0
646,Tornado Cash,TORN,8.17,3.0,1.4,5.8,8.1,1447376.0
212,Zano,ZANO,9.84,0.2,0.4,11.8,5.0,1219125.0
1335,PIVX,PIVX,0.07807,0.7,3.2,14.4,13.1,1202558.0
685,Nym,NYM,0.03446,0.9,4.7,0.2,12.4,1186246.0
127,Decred,DCR,19.92,0.9,2.5,7.8,23.7,1087059.0
1088,Nockchain,NOCK,0.006153,4.5,20.2,15.7,40.9,574455.0
328,Railgun,RAIL,1.4,0.6,4.9,44.9,13.1,491368.0
563,Pirate Chain,ARRR,0.19,0.1,2.8,6.5,16.1,424530.0
428,Concordium,CCD,0.004772,0.0,1.6,5.4,2.7,303583.0
1690,Umbra,UMBRA,0.3109,0.2,6.7,17.4,49.2,302615.0
993,Firo,FIRO,0.7826,0.2,1.3,8.0,17.7,276486.0
1425,ANyONe Protocol,ANYONE,0.08738,1.8,1.7,0.2,26.7,158591.0
2102,ZERA,ZERA,0.002621,3.9,6.4,5.8,23.0,140427.0
995,HOPR,HOPR,0.02166,0.4,0.5,10.6,3.0,101600.0
358,MimbleWimbleCoin,MWC,6.66,2.1,5.7,5.3,15.1,100519.0
2271,GhostwareOS,GHOST,0.002079,0.3,12.2,11.9,7.9,87239.1
2697,Aleph Zero,AZERO,0.004284,0.0,2.7,12.3,22.5,87212.59
2046,MinoTari (Tari),XTM,0.0006163,0.6,1.0,8.5,24.8,83319.32
4197,Privasea AI,PRAI,0.00154,0.7,5.0,31.1,1.7,79560.14
1558,Mysterium,MYST,0.1734,0.0,2.0,4.2,8.5,76992.08
1395,Epic Private Internet Cash,EPIC,0.3783,0.0,0.2,5.7,25.8,60724.28
1422,Partisia Blockchain,MPC,0.01525,4.6,36.2,40.6,95.8,60699.54
1768,BEAM,BEAM,0.02075,0.3,1.2,2.1,6.5,60230.38
2057,Particl,PART,0.1756,0.0,3.1,0.7,14.8,56628.55
1969,Navio,NAV,0.03976,0.4,0.3,8.2,20.0,53029.43
3118,Salvium,SAL,0.01779,0.7,4.2,8.6,10.0,49935.69
2493,Veil Token,VEIL,0.0227,0.8,3.9,12.6,1.2,37527.57
3594,JunoCash,JUNO,0.2713,0.0,2.0,19.2,,28651.83
2884,Nerva,XNV,0.05546,0.3,6.1,1.3,20.2,28102.72
4692,Machines-cash,MACHINES,0.052136,1.0,2.1,5.1,28.1,12628.32
